AASST			A_Asset
ADWFPRC			AD_WF_Process
ADWFPW			AD_WF_Process_Workflow
ADWFRSP			AD_WF_Responsible
ADWFT			AD_Workflow_Trl
ADWIN			AD_Window
ADWINACC		AD_Window_Access
ADWINT			AD_Window_Trl
ADWN			AD_Workflow_Name
ADWNN			AD_Window_Name
AREG			A_Registration
AREGATR			A_RegistrationAttribute
AREGPRD			A_RegistrationProduct
AREGVAL			A_RegistrationValue
BBID			B_Bid
BBIDC			B_BidComment
BBUYER			B_Buyer
BBUYERF			B_BuyerFunds
BOFR			B_Offer
BSELL			B_Seller
BSELLF			B_SellerFunds
BTOP			B_Topic
BTOPCAT			B_TopicCategory
BTOPTYP			B_TopicType
CACCP			C_AcctProcessor
CACCPL			C_AcctProcessorLog
CACCS			C_AcctSchema
CACCSDFT		C_AcctSchema_Default
CACCSE			C_AcctSchema_Element
CACCSGL			C_AcctSchema_GL
CACT			C_Activity
CALCHDR			C_AllocationHdr
CALCLN			C_AllocationLine
CALI			C_AllocationLine_Invoice
CALP			C_AllocationLine_Payment
CASES			C_AcctSchema_Element_Schema
CASN			C_AcctSchema_Name
CAV			C_Activity_Value
CBAB			C_BankAcct_Bank
CBACCT			C_BankAccount
CBACCTA			C_BankAccount_Acct
CBANK			C_Bank
CBP			C_BPartner
CBPBABP			C_BPBankAcct_BPartner
CBPBACCT		C_BP_BankAccount
CBPBPO			C_BPartner_BPOrg
CBPCACCT		C_BP_Customer_Acct
CBPEDI			C_BP_EDI
CBPEMPACCT		C_BP_Employee_Acct
CBPGRP			C_BP_Group
CBPGRPACCT		C_BP_Group_Acct
CBPGV			C_BP_Group_Value
CBPLBP			C_BPLocation_BPartner
CBPLOC			C_BPartner_Location
CBPLU			C_BPLocation_Updated
CBPN			C_BPartner_Name
CBPPRD			C_BPartner_Product
CBPREL			C_BP_Relation
CBPV			C_BPartner_Value
CBPVNDACCT		C_BP_Vendor_Acct
CBPWH			C_BP_WithHolding
CBSLB			C_BankStmtLine_BankStmt
CBSLP			C_BankStatementLine_Payment
CBSTMT			C_BankStatement
CBSTMTLDR		C_BankStatementLoader
CBSTMTLN		C_BankStatementLine
CBSTMTMCH		C_BankStatementMatcher
CCACL			C_CommissionAmt_ComLine
CCAL			C_Calendar
CCAMP			C_Campaign
CCAR			C_CommissionAmt_Run
CCASH			C_Cash
CCBK			C_CashBook
CCBKACCT		C_CashBook_Acct
CCC			C_CountryCode
CCHNL			C_Channel
CCHRG			C_Charge
CCHRGACCT		C_Charge_Acct
CCISOC			C_CurrencyISOCode
CCLC			C_CashLine_Cash
CCLN			C_CashLine
CCLNC			C_CommissionLine_Commission
CCN			C_Calendar_Name
CCNL			C_Channel_Name
CCNTRY			C_Country
CCNTRYT			C_Country_Trl
CCOM			C_Commission
CCOMAMT			C_CommisionAmt
CCOMDET			C_CommissionDetail
CCOMLN			C_CommisionLine
CCOMR			C_CommissionRun
CCRO			C_ConversionRate_Once
CCSTTYP			C_CostType
CCTY			C_City
CCURR			C_Currency
CCURRACCT		C_Currency_Acct
CCURRT			C_Currency_Trl
CCV			C_Campaign_Value
CCVNR			C_Conversion_Rate
CCVNTYP			C_ConversionType
CCYCL			C_Cycle
CCYCLP			C_CyclePhase
CCYCLS			C_CycleStep
CCYN			C_Cycle_Name
CDTN			C_DocType_Name
CDTYP			C_DocType
CDTYPCTR		C_DocTypeCounter
CDTYPT			C_DocType_Trl
CDUN			C_Dunning
CDUNLVL			C_DunningLevel
CDUNLVLT		C_DunningLevel_Trl
CDUNR			C_DunningRun
CDUNRENT		C_DunningRunEntry
CDUNRLN			C_DunningRunLine
CELM			C_Element
CELMVAL			C_ElementValue
CELMVALT		C_ElementValue_Trl
CEN			C_Element_Name
CEVN			C_ElementValue_Name
CEVV			C_ElementValue_Value
CGTG			C_Greeting
CGTGT			C_Greeting_Trl
CIDN			C_Invoice_DocumentNo
CILI			C_InvoiceLine_Invoice
CILOL			C_InvoiceLine_OrderLine
CILP			C_InvoiceLine_Product
CINV			C_Invoice
CINVLN			C_InvoiceLine
CINVPS			C_InvoicePaySchedule
CINVSCH			C_InvoiceSchedule
CINVTAX			C_InvoiceTax
CIOACCT			C_InterOrg_Acct
CIOR			C_Invoice_Order
CIPSI			C_InvoicePaySchedule_Invoice
CLNDCST			C_LandedCost
CLNDCSTALC		C_LandedCostAllocation
CLOC			C_Location
CNBD			C_NonBusinessDay
CODN			C_Order_DocumentNo
COLO			C_OrderLine_Order
COLP			C_OrderLine_Products
CORD			C_Order
CORDLN			C_OrderLine
CORDTAX			C_OrderTax
CORGASN			C_OrgAssignment
CPAYB			C_PaymentBatch
CPAYM			C_Payment
CPAYP			C_PaymentProcessor
CPAYSCHED		C_PaySchedule
CPAYSEL			C_PaySelection
CPAYSELCHK		C_PaySelectionCheck
CPAYSELLN		C_PaySelectionLine
CPAYTRM			C_PaymentTerm
CPAYTRMT		C_PaymentTerm_Trl
CPBA			C_Payment_BankAccount
CPBP			C_Payment_BPartner
CPD			C_Period
CPDCTL			C_PeriodControl
CPHSE			C_Phase
CPNU			C_Period_NoUnique
CPOS			C_POS
CPOSK			C_POSKey
CPOSKL			C_POSKeyLayout
CPROJ			C_Project
CPROJACCT		C_Project_Acct
CPROJISS		C_ProjectIssue
CPROJLN			C_ProjectLine
CPROJPHSE		C_ProjectPhase
CPROJTSK		C_ProjectTask
CPROJTYP		C_ProjectType
CPSLPS			C_PaySelLine_PaySel
CPTN			C_PaymentTerm_Name
CPVAL			C_Project_Value
CRECR			C_Recurring
CRECRR			C_Recurring_Run
CREGN			C_Region
CREVRCGN		C_RevenueRecognition
CRFQ			C_RfQ
CRFQLN			C_RfQLine
CRFQLQ			C_RfQLineQty
CRFQR			C_RfQResponse
CRFQRLN			C_RfQResponseLine
CRFQRLNQ		C_RfQResponseLineQty
CRFQT			C_RfQ_Topic
CRFQTS			C_RfQ_TopicSubscriber
CRFQTSO			C_RfQ_TopicSubscriberOnly
CRGNN			C_Region_Name
CRVNRECP		C_RevenueRecognition_Plan
CRVNRECR		C_RevenueRecognition_Run
CSLVL			C_ServiceLevel
CSLVLLN			C_ServiceLevelLine
CSRGN			C_SalesRegion
CSRV			C_SalesRegion_Value
CSUB			C_Subscription
CSUBDLV			C_Subscription_Delivery
CSUBTYP			C_SubscriptionType
CTAX			C_Tax
CTAXACCT		C_Tax_Acct
CTAXCAT			C_TaxCategory
CTAXCATT		C_TaxCategory_Trl
CTAXPS			C_TaxPostal
CTAXT			C_Tax_Trl
CTCN			C_TaxCategory_Name
CTN			C_Tax_Name
CTSK			C_Task
CUOM			C_UOM
CUOMCVN			C_UOM_Conversion
CUOMN			C_UOM_X12
CUOMT			C_UOM_Trl
CUOMX12			C_UOM_X12
CVALCBN			C_ValidCombination
CVCAL			C_ValidCombination_Alias
CVCALT			C_ValidCombination_Alt
CWH			C_Withholding
CWHACCT			C_Withholding_Acct
CYN			C_Year_Name
CYR			C_Year
DBAERR			DBA_ErrorLog
FAA			Fact_Acct_Accounts
FABAK			Fact_Acct_Balance_AKey
FACCT			Fact_Acct
FACCTBAL		Fact_Acct_Balance
FADA			Fact_Acct_DateAcct
GLBGT			GL_Budget
GLBN			GL_Budget_Name
GLCAT			GL_Category
GLCN			GL_Category_Names
GLDST			GL_Distribution
GLDSTLN			GL_DistributionLine
GLJBDN			GL_JournalBatch_DocNo
GLJDN			GL_Journal_DocNo
GLJRN			GL_Journal
GLJRNBCH		GL_JournalBatch
GLJRNLN			GL_JournalLine
IBP			I_BPartner
IBS			I_BankStatement
ICVNRTE			I_Conversion_Rate
IDEPPLN			I_DepreciationPlan
IELMVAL			I_ElementValue
IGLJRN			I_GLJournal
IINV			I_Invoice
IIOLNCFM	 	I_InOutLineConfirm
IIVT			I_Inventory
IORD			I_Order
IPMT			I_Payment
IPRD			I_Product
IRPTLN			I_ReportLine
KCAT			K_Category
KCATVAL			K_CategoryValue
KCMT			K_Comment
KENT			K_Entry
KENTCAT			K_EntryCategory
KENTRLD			K_EntryRelatedy
KSRC			K_Source
KTPC			K_Topic
KTYP			K_Type
MATR			M_Attribute
MATRINST		M_AttributeInstance
MATRSET			M_AttributeSet
MATRSETI		M_AttributeSetInstance
MATRSRCH		M_AttributeSearch
MATRUSE			M_AttributeUse
MATRVAL			M_AttributeValuee
MDMD			M_Demand
MDMDDET			M_DemandDetail
MDMDLN			M_DemandLine
MDSCS			M_DiscountSchema
MDSCSBRK		M_DiscountSchemaBreak
MDSCSLN			M_DiscountSchemaLine
MDSTLST			M_DistributionList
MDSTLSTLN		M_DistributionListLine
MDSTR			M_DistributionRun
MDSTRLN			M_DistributionRunLine
MEDI			M_EDI
MEDIINF			M_EDI_Info
MEDIT			M_EDI_Trx
MFCST			M_Forecast
MFCSTLN			M_ForecastLine
MFHT			M_Freight
MFHTCAT			M_FreightCategory
MILPLA			M_InventoryLine_ProductLocAttr
MIO			M_InOut
MIOBP			M_InOut_BPartner
MIOCFM			M_InOutConfirm
MIODN			M_InOut_DocumentNo
MIOLIO			M_InOutLine_InOut
MIOLN			M_InOutLine
MIOLNCFM		M_InOutLineConfirm
MIOLP			M_InOutLine_Product
MIOO			M_InOut_Order
MIVT			M_Inventory
MIVTLN			M_InventoryLine
MLOC			M_Locator
MLOT			M_Lot
MLOTCTL			M_LotCtl
MLW			M_Location_Where
MMIS			M_MatchInv_Ship
MMLM			M_MovementLine_Movement
MMOV			M_Movement
MMOVCFM			M_MovementConfirm
MMOVLN			M_MovementLine
MMOVLNCFM		M_MovementLineConfirm
MMPOS			M_MatchPO_Ship
MMTCINV			M_MatchInv
MMTCPO			M_MatchPO
MPCV			M_Product_Category_Value
MPDN			M_Production
MPDNLN			M_ProductionLine
MPDNPLN			M_ProductionPlan
MPKG			M_Package
MPKGLN			M_PackageLine
MPLN			M_PriceList_Name
MPLPP			M_ProductionLine_ProdPlan
MPLST			M_PriceList
MPLSTVER		M_PriceList_Version
MPPC			M_Product_ProductCategory
MPPLIVT			M_PerpetualInv
MPPOVPN			M_Product_PO_VendorProdNo
MPPP			M_ProductionPlan_Production
MPROD			M_Product
MPRODACCT		M_Product_Acct
MPRODBOM		M_Product_BOM
MPRODCAT		M_Product_Category
MPRODCATA		M_Product_Category_Acct
MPRODCST		M_Product_Costing
MPRODN			M_Product_Name
MPRODP			M_ProductPrice
MPRODPO			M_Product_PO
MPRODT			M_Product_Trl
MPRODUPC		M_Product_UPC
MPRODV			M_Product_Value
MREQ			M_Requisition
MREQLN			M_RequisitionLine
MRLTPROD		M_RelatedProduct
MRMA			M_RMA
MRMALN			M_RMALine
MRMATYP			M_RMAType
MRPLH			M_Replenish
MSHP			M_Shipper
MSNCTL			M_SerNoCtl
MSNM			M_Shipper_Name
MSTG			M_Storage
MSUB			M_Substitute
MTAP			M_TransactionAllocation_Prd
MTP			M_Transaction_Product
MTRN			M_Transaction
MTRNALC			M_TransactionAllocation
MTRNCST			M_TransactionCost
MWHSE			M_Warehouse
MWHSEA			M_Warehouse_Acct
MWN			M_Warehouse_Name
PAACH			PA_Achievement
PACLR			PA_Color
PAG			PA_Goal
PAM			PA_Measure
PAMCLC			PA_MeasureCalc
PARPT			PA_Report
PARPTCOL		PA_ReportColumn
PARPTCOLS		PA_ReportColumnSet
PARPTLN			PA_ReportLine
PARPTLNS		PA_ReportLineSet
PARPTSRC		PA_ReportSource
PASLACRIT		PA_SLA_Criteria
PASLAG			PA_SLA_Goal
PASLAM			PA_SLA_Measure
RCNTI			R_ContactInterest
RIA			R_InterestArea
RMTXT			R_MailText
RRBP			R_Request_BPartner
RREQ			R_Request
RREQA			R_RequestAction
RREQP			R_RequestProcessor
RREQPLOG		R_RequestProcessorLog
RREQPRTE		R_RequestProcessor_Route
RREQTYP			R_RequestType
RRPC			R_ResourcePlanCost
RRU			R_Request_User
SEXPTYP			S_ExpenseType
SRSCE			S_Resource
SRSCEA			S_ResourceAssignment
SRSCETYP		S_ResourceType
SRSCEUA			S_ResourceUnAvailable
STIMEXP			S_TimeExpense
STIMEXPLN		S_TimeExpenseLine
STIMTYP			S_TimeType
STRG			S_Training
STRGCLS			S_Training_Class
TAGE			T_Aging
TDSTRDET		T_DistributionRunDetail
TEST			Test
TIRESTG			TIRE_Storage
TIVTVAL			T_InventoryValue
TRPL			T_Replenish
TRPT			T_Report
TRPTSTMT		T_ReportStatement
TSEL			T_Selection
TSEL2			T_Selection2
TSPL			T_Spool
TTRLBAL			T_TrialBalance
WAD			W_Advertisement
WBCBP			W_Basket_CBPartner
WBS			W_Basket_Session
WBSKT			W_Basket
WBSKTLN			W_BasketLine
WCCPURL			W_CounterCount_PageURLs
WCCTURL			W_ClickCount_TargetURL
WCLK			W_Click
WCLKCNT			W_ClickCount
WCNT			W_Counter
WCNTC			W_CounterCount
